1,1,1,0.966386555,517
2,1,1,0.821138211,479
3,1,1,0.968253968,478.5
4,1,1,0.926229508,509
5,1,1,0.921875,486.5
6,1,1,0.916666667,464
7,1,1,0.90625,421.5
8,1,1,0.913385827,444
1,1,2,0.866666667,549
2,1,2,0.704918033,504
3,1,2,0.95,507.5
4,1,2,0.868852459,549
5,1,2,0.936507937,499
6,1,2,0.883333333,493
7,1,2,0.828125,467.5
8,1,2,0.888888889,444
1,2,1,0.96031746,473.5
2,2,1,0.947368421,490.5
3,2,1,0.976,469
4,2,1,0.958677686,495
5,2,1,0.96875,458.5
6,2,1,0.952380952,470.5
7,2,1,0.9375,433
8,2,1,0.8828125,432.5
1,2,2,0.920634921,489
2,2,2,0.894736842,486
3,2,2,1,477
4,2,2,0.883333333,488.5
5,2,2,0.96875,462
6,2,2,0.967741935,457.5
7,2,2,0.875,431
8,2,2,0.90625,437.5
