9,1,1,0.976190476,456
10,1,1,0.948979592,432
11,1,1,0.78125,321.5
12,1,1,0.9609375,486.5
13,1,1,0.94488189,458
14,1,1,0.912698413,535.5
15,1,1,0.9609375,415.5
16,1,1,0.9453125,465
9,1,2,0.9375,468.5
10,1,2,0.916666667,449
11,1,2,0.75,322.5
12,1,2,0.783333333,500
13,1,2,0.875,460.5
14,1,2,0.6875,558
15,1,2,0.78125,454
16,1,2,0.875,494.5
9,2,1,0.9921875,424
10,2,1,0.894736842,415
11,2,1,0.859375,326
12,2,1,1,470
13,2,1,0.921259843,450
14,2,1,0.992,495
15,2,1,0.992125984,395
16,2,1,0.984375,443.5
9,2,2,0.984375,444.5
10,2,2,0.897959184,434
11,2,2,0.8125,322.5
12,2,2,0.96875,477
13,2,2,0.890625,465
14,2,2,0.950819672,468
15,2,2,0.96875,430
16,2,2,0.984375,445
